0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
RN,nº,"600/2024,",vigente,a,partir,de,01/04/2024,,,,,,,,,,,,,,,,,,,,,
RN,nº,"603/2024,",vigente,a,partir,de,02/05/2024,RN,nº,"604/2024,",vigente,a,partir,de,07/05/2024,,,,,,,,,,,,,
RN,nº,"606/2024,",vigente,a,partir,de,21/06/2024,,,,,,,,,,,,,,,,,,,,,
RN,nº,"607/2024,",vigente,a,partir,de,01/07/2024,,,,,,,,,,,,,,,,,,,,,
RN,nº,"610/2024,",vigente,a,partir,de,01/08/2024,,,,,,,,,,,,,,,,,,,,,
RN,nº,"619/2024,",vigente,a,partir,de,02/01/2025,,,,,,,,,,,,,,,,,,,,,
RN,nº,"624/2024,",vigente,a,partir,de,03/02/2025,,,,,,,,,,,,,,,,,,,,,
RN,nº,"625/2024,",vigente,a,partir,de,23/12/2024,,,,,,,,,,,,,,,,,,,,,
RN,nº,"627/2024,",vigente,a,partir,de,17/02/2025PROCEDIMENTORN,,,,,,,,,,,,,,,,,,,,,
(alteração)VIGÊNCIA,CUUUUUUUUUUUUUUUUUUUUUUUUUU,VOLTA MARIA,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO,,,,,,,,,,,,,,,,,,
ACONSELHAMENTO,GENÉTICO,VOLTA MARIA,HCO,HSO,"REFCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
ATENDIMENTO/ACOMPANHAMENTO,EM,HOSPITAL-DIA,PSIQUIÁTRICO,(COM,DIRETRIZ,DE,UTILIZAÇÃO),HCO,HSO,REF,"109CONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
ATENDIMENTO,INTEGRAL,AO,RECÉM-NASCIDO,(SALA,DE,"PARTO,",BERÇÁRIO,E,UTI),HCO,"REFCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
ATENDIMENTO,MÉDICO,DO,INTENSIVISTA,EM,UTI,GERAL,OU,PEDIÁTRICA,HCO,HSO,"REFCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
ATENDIMENTO,PEDIÁTRICO,A,GESTANTES,(3º,TRIMESTRE),VOLTA MARIA,HCO,"REFCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
ATIVIDADE,EDUCACIONAL,PARA,PLANEJAMENTO,FAMILIAR,VOLTA MARIA,"REFCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
ATIVIDADE,EDUCATIVA,EM,SAÚDE,BUCAL,"ODCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
ATIVIDADE,EDUCATIVA,EM,ODONTOLOGIA,PARA,PAIS,E/OU,CUIDADORES,DE,PACIENTES,COM,NECESSIDADES,,,,,,,,,,,,,,,,,
"ESPECIAISODCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
CONDICIONAMENTO,EM,ODONTOLOGIA,(COM,DIRETRIZ,DE,UTILIZAÇÃO),CUUUUUUUUUUUUUUUUUUUUUUUUUU,"86CONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
ESTABILIZAÇÃO,DE,PACIENTE,POR,MEIO,DE,CONTENÇÃO,FÍSICA,E/OU,MECÂNICA,"ODCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
CONSULTA,DE,ACONSELHAMENTO,PARA,PLANEJAMENTO,FAMILIAR,VOLTA MARIA,"REFCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
CONSULTA,COM,ENFERMEIRO,OBSTETRA,OU,OBSTETRIZ,(COM,DIRETRIZ,DE,UTILIZAÇÃO),VOLTA MARIA,HCO,REF,"135CONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
CONSULTA/AVALIAÇÃO,COM,FISIOTERAPEUTA,541/2022,01/08/2022,VOLTA MARIA,"REFCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
CONSULTA,MÉDICA,VOLTA MARIA,"REFCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
CONSULTA,ODONTOLÓGICA,"ODCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
CONSULTA,ODONTOLÓGICA,INICIAL,"ODCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
CONSULTA,ODONTOLÓGICA,DE,URGÊNCIA,"ODCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
CONSULTA,ODONTOLÓGICA,PARA,AVALIAÇÃO,TÉCNICA,DE,AUDITORIA,"ODCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
CONSULTA/AVALIAÇÃO,COM,PSICÓLOGO,541/2022,01/08/2022,VOLTA MARIA,"REFCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAISRol,de,Procedimentos,e,Eventos,em,Saúde,,,,,,,,,,,,,,,,,
(RN,"465/2021,",vigente,a,partir,de,"01/04/2021,",e,suas,alterações),,,,,,,,,,,,,,,,,,,
Legenda:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OD:,Seg.,Odontológica,,,,,,,,,,,,,,,,,,,,,,,,,,
AMB:,Seg.,AmbulatorialHCO:,Seg.,Hospitalar,Com,Obstetrícia,,,,,,,,,,,,,,,,,,,,,,
HSO:,Seg.,Hospitalar,Sem,Obstetrícia,,,,,,,,,,,,,,,,,,,,,,,,
REF:,Plano,ReferênciaPAC:,Procedimento,de,Alta,Complexidade,,,,,,,,,,,,,,,,,,,,,,
DUT:,Diretriz,de,Utilização,,,,,,,,,,,,,,,,,,,,,,,,,
1PROCEDIMENTORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(alteração)VIGÊNCIA,CUUUUUUUUUUUUUUUUUUUUUUUUUU,VOLTA MARIA,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULORol,de,Procedimentos,e,Eventos,em,Saúde,,,,,,,,,,,,
(RN,"465/2021,",vigente,a,partir,de,"01/04/2021,",e,suas,alterações),,,,,,,,,,,,,,,,,,,
SESSÃO,COM,PSICÓLOGO,541/2022,01/08/2022,VOLTA MARIA,"REFCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
CONSULTA/AVALIAÇÃO,COM,FONOAUDIÓLOGO,541/2022,01/08/2022,VOLTA MARIA,"REFCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
SESSÃO,COM,FONOAUDIÓLOGO,541/2022,01/08/2022,VOLTA MARIA,"REFCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
CONSULTA,COM,NUTRICIONISTA,(COM,DIRETRIZ,DE,UTILIZAÇÃO),VOLTA MARIA,REF,"103CONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
CONSULTA/AVALIAÇÃO,COM,TERAPEUTA,OCUPACIONAL,541/2022,01/08/2022,VOLTA MARIA,"REFCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
SESSÃO,COM,TERAPEUTA,OCUPACIONAL,541/2022,01/08/2022,VOLTA MARIA,"REFCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
TRANSPORTE,EXTRA-HOSPITALAR,DE,PACIENTES,GRAVES,COM,ACOMPANHAMENTO,"MÉDICO,",DO,,,,,,,,,,,,,,,,,,,,
ESTABELECIMENTO,HOSPITALAR,DE,ORIGEM,PARA,OUTRO,ESTABELECIMENTO,DE,SAÚDEHCO,HSO,"REFCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
VISITA,HOSPITALAR,HCO,HSO,"REFCONSULTAS,",VISITAS,HOSPITALARES,OU,,,,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,DE,PACIENTESPROCEDIMENTOS,GERAIS,PROCEDIMENTOS,GERAIS,,,,,,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,CLÍNICO,AMBULATORIAL,PÓS-TRANSPLANTE,DE,CÓRNEA,HCO,HSO,REF,AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,
E,HOSPITALARESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,CLÍNICO,AMBULATORIAL,PÓS-TRANSPLANTE,DE,MEDULA,ÓSSEA,HCO,HSO,REF,AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,
E,HOSPITALARESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,CLÍNICO,AMBULATORIAL,PÓS-TRANSPLANTE,HEPÁTICO,546/2022,03/10/2022,HCO,HSO,REF,AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,
E,HOSPITALARESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,CLÍNICO,AMBULATORIAL,PÓS-TRANSPLANTE,RENAL,HCO,HSO,REF,AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,
E,HOSPITALARESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,CLÍNICO,DE,TRANSPLANTE,HEPÁTICO,NO,PERÍODO,DE,INTERNAÇÃO,DO,RECEPTOR,E,,,,,,,,,,,,,,,,,
DO,DOADOR546/2022,03/10/2022,HCO,HSO,REF,PAC,AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,
E,HOSPITALARESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOMPANHAMENTO,CLÍNICO,DE,TRANSPLANTE,RENAL,NO,PERÍODO,DE,INTERNAÇÃO,DO,RECEPTOR,E,DO,,,,,,,,,,,,,,,,
DOADORHCO,HSO,REF,PAC,AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVALIAÇÃO,CLÍNICA,DIARIA,ENTERAL,E/OU,PARENTERAL,HCO,HSO,REF,AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,
E,HOSPITALARESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVALIAÇÃO,CLÍNICA,E,ELETRÔNICA,DE,PACIENTE,PORTADOR,DE,DISPOSITIVO,CARDÍACO,ELETRÔNICO,,,,,,,,,,,,,,,,,,
IMPLANTÁVEL,"(MARCA-PASSO,",ESTIMULADOR,"MULTISSÍTIO/RESSINCRONIZADOR,",DESFIBRILADOR,OU,,,,,,,,,,,,,,,,,,,,,,,
MONITOR,DE,EVENTOS)AMB,HCO,HSO,REF,AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARDIOVERSÃO,ELÉTRICA,COM,ELETROCARDIOGRAMA,VOLTA MARIA,HCO,HSO,REF,AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,
E,HOSPITALARESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTROLE,DE,BIOFILME,DENTAL,(PLACA,BACTERIANA),CUUUUUUUUUUUUUUUUUUUUUUUUUU,AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,
E,HOSPITALARESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORNECIMENTO,DE,EQUIPAMENTOS,COLETORES,E,ADJUVANTES,PARA,"COLOSTOMIA,",ILEOSTOMIA,E,,,,,,,,,,,,,,,,,,,
"UROSTOMIA,",SONDA,VESICAL,DE,DEMORA,E,COLETOR,DE,URINA,(COM,PROTOCOLO,DE,UTILIZAÇÃO,-,,,,,,,,,,,,,,,
PROUT)AMB,HCO,HSO,REF,AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legenda:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OD:,Seg.,Odontológica,,,,,,,,,,,,,,,,,,,,,,,,,,
AMB:,Seg.,AmbulatorialHCO:,Seg.,Hospitalar,Com,Obstetrícia,,,,,,,,,,,,,,,,,,,,,,
HSO:,Seg.,Hospitalar,Sem,Obstetrícia,,,,,,,,,,,,,,,,,,,,,,,,
REF:,Plano,ReferênciaPAC:,Procedimento,de,Alta,Complexidade,,,,,,,,,,,,,,,,,,,,,,
DUT:,Diretriz,de,Utilização,,,,,,,,,,,,,,,,,,,,,,,,,
2PROCEDIMENTORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(alteração)VIGÊNCIA,CUUUUUUUUUUUUUUUUUUUUUUUUUU,VOLTA MARIA,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULORol,de,Procedimentos,e,Eventos,em,Saúde,,,,,,,,,,,,
(RN,"465/2021,",vigente,a,partir,de,"01/04/2021,",e,suas,alterações),,,,,,,,,,,,,,,,,,,
PROFILAXIA:,POLIMENTO,CORONÁRIO,CUUUUUUUUUUUUUUUUUUUUUUUUUU,AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERAPIA,ANTINEOPLÁSICA,ORAL,PARA,TRATAMENTO,DO,CÂNCER,(COM,DIRETRIZ,DE,UTILIZAÇÃO),VOLTA MARIA,HCO,HSO,REF,PAC,64,AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,
E,HOSPITALARESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESTE,DE,PROVOCAÇÃO,ORAL,COM,ALIMENTOS,(COM,DIRETRIZ,DE,UTILIZAÇÃO),536/2022,06/05/2022,VOLTA MARIA,HCO,HSO,REF,152,AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,
E,HOSPITALARESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDICAMENTOS,PARA,O,CONTROLE,DE,EFEITOS,ADVERSOS,E,ADJUVANTES,RELACIONADOS,A,,,,,,,,,,,,,,,,,,
TRATAMENTOS,ANTINEOPLÁSICOS,(COM,DIRETRIZ,DE,UTILIZAÇÃO)AMB,REF,PAC,54,AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,
E,HOSPITALARESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARDIOTOCOGRAFIA,VOLTA MARIA,HCO,HSO,REF,MONITORIZAÇÕESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLTER,DE,24,HORAS,-,2,OU,MAIS,CANAIS,-,ANALÓGICO,OU,DIGITAL,VOLTA MARIA,REF,MONITORIZAÇÕESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,
E,HOSPITALARESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONITORIZAÇÃO,AMBULATORIAL,DA,PRESSÃO,ARTERIAL,-,MAPA,(24,HORAS),-,COM,DIRETRIZ,DE,UTILIZAÇÃO,VOLTA MARIA,REF,56,MONITORIZAÇÕESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,
E,HOSPITALARESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONITORIZAÇÃO,AMBULATORIAL,DA,PRESSÃO,ARTERIAL,DE,5,DIAS,-,MAPA,5,DIAS,(MONITORIZAÇÃO,,,,,,,,,,,,,,,,
RESIDENCIAL,DA,PRESSÃO,ARTERIAL,-,MRPA),-,COM,DIRETRIZ,DE,UTILIZAÇÂO581/2023,12/072023,VOLTA MARIA,REF,162,MONITORIZAÇÕESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,
E,HOSPITALARESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONITORIZAÇÃO,DA,PRESSÃO,INTRACRANIANA,HCO,HSO,REF,MONITORIZAÇÕESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,
E,HOSPITALARESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONITORIZAÇÃO,HEMODINÂMICA,INVASIVA,OU,NÃO,INVASIVA,HCO,HSO,REF,MONITORIZAÇÕESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,
E,HOSPITALARESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONITORIZAÇÃO,NEUROFISIOLÓGICA,INTRA-OPERATÓRIA,HCO,HSO,REF,MONITORIZAÇÕESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARESPROCEDIMENTOS,CLÍNICOS,AMBULATORIAIS,,,,,,,,,,,,,,,,,,,,,,,,,
E,HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,
